category,img_src
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.09.21\4088600435145_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.04.22 1\4088600255682_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.04.22 1\4088600255699_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/11.11.22/4088600494586_0.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/22.11.22/4088600176550_0.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.03.23\4088600283487_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.03.23\4088600495514_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.04.22 1\4088600255668_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.03.23\4088600283258_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.02.22\4088600263328_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.09.21\4088600435152_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/22.02.22/4088600263342_0.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.10.22\4088600283562_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.04.22 1\4088600106229_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.04.22 1\4088600255675_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.02.22\4088600283265_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.07.22\8710908178399_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.01.23\8717163902936_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.02.22\4088600283494_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.11.22\4088600494593_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.07.22\8710908180811_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.07.22\8710908182082_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.03.23\4088600495521_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/image_not_found.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.07.22\8710908181719_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/11.01.23/8717163902929_0.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/image_not_found.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\22.11.22\4088600176567_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/05.10.22/4088600106205_0.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\27.01.22\4088600176543_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\15.07.22\8006540109410_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.02.23\4061463593023_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.02.22\4088600281827_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.02.22\4088600281797_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/05.10.22/4088600283647_0.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\15.07.22\8006540123829_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\15.07.22\8006540109359_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\15.07.22\8006540123850_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.04.22 1\4088600106199_0_XL.jpg
hair_care_&_accessories,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\15.07.22\8006540123768_0_XL.jpg
