category,img_src
dishwashing_detergents,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.04.23\4088600496269_0_XL.jpg
dishwashing_detergents,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.08.21\4088600062013_0_XL.jpg
dishwashing_detergents,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.12.22\4088600506029_0_XL.jpg
dishwashing_detergents,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.07.22\4088600496283_0_XL.jpg
dishwashing_detergents,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.07.22\4088600496276_0_XL.jpg
dishwashing_detergents,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.07.22\4088600496290_0_XL.jpg
dishwashing_detergents,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.08.21\4088600062006_0_XL.jpg
dishwashing_detergents,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/16.11.22/5059001002136_0.jpg
dishwashing_detergents,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.11.22\5059001002143_0_XL.jpg
dishwashing_detergents,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.12.22\4088600506036_0_XL.jpg
dishwashing_detergents,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.10.22\4088600499369_0_XL.jpg
dishwashing_detergents,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.04.23 (2)\4088600555324_0_XL.jpg
dishwashing_detergents,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/04.10.22/4088600499161_0.jpg
dishwashing_detergents,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/14.04.23/4088600497105_0.jpg
dishwashing_detergents,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.12.22\4088600499130_0_XL.jpg
dishwashing_detergents,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.04.23\4088600497112_0_XL.jpg
