category,img_src
cleaners,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/22.09.22 (1)/4088600543758_0.jpg
cleaners,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/16.09.22 (2)/4088600297293_0.jpg
cleaners,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/16.09.22 (2)/4088600307633_0.jpg
cleaners,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.09.22 (2)\4088600307664_0_XL.jpg
cleaners,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/16.09.22 (2)/4088600307657_0.jpg
cleaners,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\25.05.22\5011962980267_0_XL.jpg
cleaners,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.07.22\4088600307770_0_XL.jpg
cleaners,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.09.22\4088600308203_0_XL.jpg
cleaners,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\5011962112057_6f530240712f43b097d49910a1423f80_XL.jpg
cleaners,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.07.22\4088600307763_0_XL.jpg
cleaners,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.08.21\4088600076607_0_XL.jpg
cleaners,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.08.21\4088600076614_0_XL.jpg
cleaners,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\06.07.21\5011962112231_0_XL.jpg
cleaners,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\14.07.22\4088600446257_0_XL.jpg
cleaners,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\31.08.22\4088600543765_0_XL.jpg
cleaners,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.09.22\4088600308258_0_XL.jpg
cleaners,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/16.09.22 (2)/4088600295855_0.jpg
cleaners,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\4088600076621_8e7d3a3d3ab048fe895100faa4f4ed85_XL.jpg
cleaners,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/16.11.22/8006540730041_0.jpg
cleaners,https://aldprdproductimages.azureedge.net/media/image_not_found.jpg
