category,img_src
cloths_sponges_&_gloves,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.02.2022\4088600463285_0_XL.jpg
cloths_sponges_&_gloves,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.02.22\4088600438771_0_XL.jpg
cloths_sponges_&_gloves,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.05.22 (1)\4088600460758_0_XL.jpg
cloths_sponges_&_gloves,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\05.05.22 (1)\4088600430720_0_XL.jpg
cloths_sponges_&_gloves,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\01.08.22\4088600511900_0_XL.jpg
cloths_sponges_&_gloves,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.03.22\4088600383262_0_XL.jpg
cloths_sponges_&_gloves,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\01.08.22\4088600511917_0_XL.jpg
cloths_sponges_&_gloves,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.08.21\4088600145570_0_XL.jpg
cloths_sponges_&_gloves,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.08.21\4088600145563_0_XL.jpg
cloths_sponges_&_gloves,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.08.21\4088600145587_0_XL.jpg
cloths_sponges_&_gloves,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.05.22\4088600449807_0_XL.jpg
cloths_sponges_&_gloves,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/10.05.22/4088600449791_0.jpg
cloths_sponges_&_gloves,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\08.08.22\4088600431420_0_XL.jpg
cloths_sponges_&_gloves,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\10.05.22\4088600449814_0_XL.jpg
cloths_sponges_&_gloves,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.08.21\4088600355641_0_XL.jpg
