category,img_src
toilet_cleaners_&_fresheners,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.11.22\4088600348155_0_XL.jpg
toilet_cleaners_&_fresheners,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.08.21\4088600383699_0_XL.jpg
toilet_cleaners_&_fresheners,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.07.21\4088600378411_0_XL.jpg
toilet_cleaners_&_fresheners,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.11.22\4088600348162_0_XL.jpg
toilet_cleaners_&_fresheners,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.08.21\4088600137728_0_XL.jpg
toilet_cleaners_&_fresheners,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.08.21\4088600137711_0_XL.jpg
toilet_cleaners_&_fresheners,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.11.22\5000186811112_0_XL.jpg
toilet_cleaners_&_fresheners,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\ALL_RESIZED3\4088600012452_0_XL.png
toilet_cleaners_&_fresheners,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/16.11.22/8717163540213_0.jpg
toilet_cleaners_&_fresheners,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/16.11.22/5000186481001_0.jpg
toilet_cleaners_&_fresheners,https://aldprdproductimages.azureedge.net/media/image_not_found.jpg
toilet_cleaners_&_fresheners,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.11.22\4088600348131_0_XL.jpg
toilet_cleaners_&_fresheners,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.11.22\4088600348148_0_XL.jpg
toilet_cleaners_&_fresheners,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\16.11.22\4088600527048_0_XL.jpg
