category,img_src
tissues,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.08.21\4088600320281_0_XL.jpg
tissues,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.08.21\4088600320274_0_XL.jpg
tissues,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.08.21\4088600300450_0_XL.jpg
tissues,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.05.23\4061464489318_0_XL.jpg
tissues,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.08.21\4088600077222_0_XL.jpg
tissues,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.05.23\4061464489462_0_XL.jpg
tissues,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.05.23\4061464488700_0_XL.jpg
tissues,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.11.22\4088600440675_0_XL.jpg
tissues,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/29.11.22/4088600440651_0.jpg
tissues,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\29.11.22\4088600440668_0_XL.jpg
tissues,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.05.23\4061464646964_0_XL.jpg
tissues,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/22.11.22/5029053581514_0.jpg
