category,img_src
toilet_roll,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.12.21\4088600440774_0_XL.jpg
toilet_roll,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\04.04.23\4088600440859_0_XL.jpg
toilet_roll,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\24.08.21\4088600269306_0_XL.jpg
toilet_roll,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/20.01.22/4088600445342_0.jpg
toilet_roll,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.04.23\4061464485419_0_XL.jpg
toilet_roll,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.04.23\4061464485334_0_XL.jpg
toilet_roll,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.03.23\4061464484344_0_XL.jpg
toilet_roll,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\20.12.21\4088600440682_0_XL.jpg
toilet_roll,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\13.04.23 (2)\4061464484993_0_XL.jpg
toilet_roll,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/19.04.23/4061464484818_0.jpg
toilet_roll,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\21.03.23\4061464484672_0_XL.jpg
toilet_roll,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\17.05.23\4061464485266_0_XL.jpg
toilet_roll,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\09.08.21\4088600042589_0_XL.jpg
toilet_roll,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\23.08.21\4088600069395_0_XL.jpg
toilet_roll,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/02.09.22/4088600440866_0.jpg
